Date,open,high,low,close,adjusted_close,volume
2020-01-01,41253.7383,41253.7383,41253.7383,41253.7383,41253.7383,0
2020-01-02,41340.2695,41649.2891,41328.4492,41626.6406,41626.6406,5300
2020-01-03,41634.5117,41636.1797,41348.6797,41464.6094,41464.6094,8900
2020-01-06,41378.3398,41378.3398,40613.9609,40676.6289,40676.6289,8700
2020-01-07,40983.0391,41230.1406,40727.3711,40869.4688,40869.4688,11900
2020-01-08,40574.8281,40866.3594,40476.5508,40817.7383,40817.7383,18200
2020-01-09,41216.6719,41482.1211,41175.7188,41452.3516,41452.3516,7800
2020-01-10,41568.1992,41775.1094,41447.8008,41599.7188,41599.7188,13200
2020-01-13,41788.2109,41899.6289,41720.7617,41859.6914,41859.6914,10600
2020-01-14,41883.0898,41994.2617,41770.8984,41952.6289,41952.6289,14100
2020-01-15,41969.8594,41969.8594,41648.1094,41872.7305,41872.7305,6100
2020-01-16,41924.7383,42059.4492,41812.2813,41932.5586,41932.5586,6600
2020-01-17,41929.0195,42063.9297,41850.2891,41945.3711,41945.3711,9500
2020-01-20,42263.0,42273.8711,41503.3711,41528.9102,41528.9102,7500
2020-01-21,41487.5703,41532.5898,41294.3008,41323.8086,41323.8086,8900
2020-01-22,41467.1289,41532.2891,41059.0391,41115.3789,41115.3789,7700
2020-01-23,41191.5,41413.9609,41098.9102,41386.3984,41386.3984,9900
2020-01-24,41377.0391,41697.0313,41275.6016,41613.1914,41613.1914,6600
2020-01-27,41510.6797,41516.2695,41122.4805,41155.1211,41155.1211,7000
2020-01-28,41299.6797,41333.25,40869.75,40966.8594,40966.8594,9800
2020-01-29,41131.5703,41334.8594,41108.1914,41198.6602,41198.6602,7800
2020-01-30,41380.1406,41380.1406,40829.9102,40913.8203,40913.8203,6700
2020-01-31,41146.5586,41154.4883,40671.0117,40723.4883,40723.4883,11500
2020-02-03,39701.0195,40014.8984,39563.0703,39872.3086,39872.3086,10600
2020-02-04,40178.7383,40818.9414,40117.4609,40789.3789,40789.3789,15300
