Date,open,high,low,close,adjusted_close,volume
2024-01-02,101.417,102.252,101.34,102.2,102.2,0
2024-01-03,102.15,102.726,102.075,102.494,102.494,0
2024-01-04,102.457,102.527,102.145,102.422,102.422,0
2024-01-05,102.395,103.101,101.908,102.412,102.412,0
2024-01-08,102.435,102.62,102.075,102.209,102.209,0
2024-01-09,102.223,102.657,102.108,102.57,102.57,0
2024-01-10,102.482,102.641,102.342,102.362,102.362,0
2024-01-11,102.297,102.764,102.158,102.291,102.291,0
2024-01-12,102.298,102.587,102.087,102.404,102.404,0
2024-01-15,102.439,102.674,102.313,102.404,102.404,0
2024-01-16,102.742,103.425,102.742,103.357,103.357,0
2024-01-17,103.363,103.692,103.262,103.45,103.45,0
2024-01-18,103.369,103.629,103.147,103.536,103.536,0
2024-01-19,103.372,103.546,103.236,103.288,103.288,0
2024-01-22,103.239,103.371,103.114,103.331,103.331,0
2024-01-23,103.353,103.817,102.982,103.617,103.617,0
2024-01-24,103.506,103.548,102.77,103.236,103.236,0
2024-01-25,103.354,103.684,103.12,103.574,103.574,0
2024-01-26,103.515,103.729,103.146,103.433,103.433,0
2024-01-29,103.474,103.824,103.403,103.609,103.609,0
2024-01-30,103.437,103.614,103.31,103.397,103.397,0
2024-01-31,103.419,103.741,102.942,103.274,103.274,0
2024-02-01,103.512,103.811,103.02,103.048,103.048,0
2024-02-02,102.993,104.043,102.901,103.922,103.922,0
2024-02-05,103.962,104.604,103.962,104.452,104.452,0
2024-02-06,104.436,104.589,104.137,104.213,104.213,0
2024-02-07,104.15,104.165,103.941,104.057,104.057,0
2024-02-08,104.027,104.434,103.955,104.165,104.165,0
2024-02-09,104.144,104.261,103.954,104.111,104.111,0
2024-02-12,104.08,104.279,103.895,104.17,104.17,0
2024-02-13,104.175,104.963,103.967,104.96,104.96,0
2024-02-14,104.835,104.976,104.657,104.723,104.723,0
2024-02-15,104.66,104.714,104.182,104.296,104.296,0
2024-02-16,104.298,104.672,104.168,104.296,104.296,0
2024-02-19,104.275,104.373,104.14,104.291,104.291,0
2024-02-20,104.316,104.412,103.796,104.079,104.079,0
2024-02-21,104.037,104.213,103.943,104.006,104.006,0
2024-02-22,103.914,104.129,103.434,103.957,103.957,0
2024-02-23,103.946,104.052,103.769,103.936,103.936,0
2024-02-26,103.961,104.018,103.71,103.827,103.827,0
2024-02-27,103.779,103.923,103.609,103.829,103.829,0
2024-02-28,103.843,104.242,103.807,103.975,103.975,0
2024-02-29,103.92,104.201,103.656,104.156,104.156,0
2024-03-01,104.126,104.292,103.842,103.861,103.861,0
2024-03-04,103.885,103.963,103.728,103.832,103.832,0
2024-03-05,103.849,103.949,103.58,103.798,103.798,0
2024-03-06,103.814,103.893,103.201,103.369,103.369,0
2024-03-07,103.312,103.352,102.794,102.823,102.823,0
2024-03-08,102.732,102.898,102.358,102.712,102.712,0
2024-03-11,102.741,102.933,102.636,102.869,102.869,0
2024-03-12,102.818,103.177,102.724,102.957,102.957,0
2024-03-13,102.925,103.021,102.666,102.789,102.789,0
2024-03-14,102.764,103.396,102.736,103.36,103.36,0
2024-03-15,103.387,103.494,103.301,103.432,103.432,0
2024-03-18,103.446,103.649,103.335,103.594,103.594,0
2024-03-19,103.587,104.059,103.576,103.839,103.839,0
2024-03-20,103.841,104.149,103.379,103.414,103.414,0
2024-03-21,103.244,104.054,103.172,104.004,104.004,0
2024-03-22,103.992,104.496,103.922,104.473,104.473,0
2024-03-25,104.43,104.475,104.144,104.235,104.235,0
2024-03-26,104.22,104.336,104.012,104.293,104.293,0
