Date,open,high,low,close,adjusted_close,volume
2024-01-02,16.01,16.59,15.71,15.73,15.73,0
2024-01-03,15.36,15.63,14.6,14.85,14.85,0
2024-01-04,14.62,14.62,14.18,14.2,14.2,0
2024-01-05,14.27,14.99,13.78,13.81,13.81,0
2024-01-08,13.5,13.9,13.45,13.56,13.56,0
2024-01-09,13.47,13.5,13.13,13.16,13.16,0
2024-01-10,13.49,13.54,13.06,13.26,13.26,0
2024-01-11,12.74,12.84,12.43,12.8,12.8,0
2024-01-12,14.22,14.5,13.13,13.49,13.49,0
2024-01-16,13.78,13.78,13.3,13.55,13.55,0
2024-01-17,13.82,13.82,13.33,13.53,13.53,0
2024-01-18,13.39,13.39,12.94,13.09,13.09,0
2024-01-19,13.28,13.28,12.72,12.95,12.95,0
2024-01-22,13.28,13.28,12.82,12.83,12.83,0
2024-01-23,12.76,12.82,12.54,12.73,12.73,0
2024-01-24,12.92,13.56,12.68,12.7,12.7,0
2024-01-25,12.89,13.0,12.63,12.79,12.79,0
2024-01-26,12.39,12.46,11.86,11.91,11.91,0
2024-01-29,12.89,13.22,12.54,13.08,13.08,0
2024-01-30,13.76,15.66,12.91,13.05,13.05,0
2024-01-31,13.39,14.56,12.94,13.16,13.16,0
2024-02-01,13.83,15.31,13.66,13.72,13.72,0
2024-02-02,12.77,19.04,12.53,12.66,12.66,0
2024-02-05,12.64,12.75,12.35,12.49,12.49,0
2024-02-06,12.11,12.43,12.07,12.31,12.31,0
2024-02-07,12.03,12.55,11.7,11.84,11.84,0
2024-02-08,11.97,12.02,11.61,11.71,11.71,0
2024-02-09,11.59,11.65,11.2,11.2,11.2,0
2024-02-12,11.57,11.85,11.55,11.81,11.81,0
2024-02-13,11.85,12.15,11.78,12.15,12.15,0
2024-02-14,12.06,12.25,11.98,12.02,12.02,0
2024-02-15,12.04,12.13,11.73,11.79,11.79,0
2024-02-16,11.74,12.84,11.61,11.75,11.75,0
2024-02-20,11.96,11.96,11.7,11.81,11.81,0
2024-02-21,11.66,12.33,11.37,11.46,11.46,0
2024-02-22,11.46,15.11,11.16,11.19,11.19,0
2024-02-23,10.93,11.51,10.85,11.5,11.5,0
2024-02-26,11.37,11.43,11.06,11.29,11.29,0
2024-02-27,11.02,13.38,10.87,10.95,10.95,0
2024-02-28,11.01,11.03,10.85,10.93,10.93,0
2024-02-29,11.15,12.49,11.13,11.16,11.16,0
2024-03-01,11.47,16.94,11.44,13.47,13.47,0
2024-03-04,14.19,15.2,13.98,14.61,14.61,0
2024-03-05,15.27,15.31,14.21,14.54,14.54,0
2024-03-06,14.88,16.05,14.78,15.17,15.17,0
2024-03-07,15.38,15.42,15.08,15.09,15.09,0
2024-03-08,14.96,15.97,14.65,15.47,15.47,0
2024-03-11,15.09,15.65,14.99,15.5,15.5,0
2024-03-12,14.59,14.62,14.02,14.1,14.1,0
2024-03-13,13.69,14.14,13.57,14.09,14.09,0
2024-03-14,13.4,13.66,13.22,13.3,13.3,0
2024-03-15,13.44,16.17,13.41,13.54,13.54,0
2024-03-18,13.8,13.95,13.77,13.83,13.83,0
2024-03-19,13.71,13.73,13.45,13.48,13.48,0
2024-03-20,13.22,15.2,13.22,13.62,13.62,0
2024-03-21,14.46,17.31,13.1,13.42,13.42,0
2024-03-22,12.98,13.14,12.28,12.53,12.53,0
2024-03-25,12.39,13.17,12.09,12.09,12.09,0
2024-03-26,13.09,13.53,12.36,12.57,12.57,0
2024-03-27,13.07,13.58,13.07,13.58,13.58,0
2024-03-28,14.73,15.48,14.33,15.44,15.44,0
2024-04-01,17.14,17.14,15.53,16.25,16.25,0
2024-04-02,16.56,17.77,15.83,17.13,17.13,0
2024-04-03,16.5,17.55,16.0,17.49,17.49,0
2024-04-04,16.69,17.81,16.18,17.29,17.29,0
2024-04-05,16.51,17.77,16.48,16.92,16.92,0
2024-04-08,16.92,16.92,16.92,16.92,16.92,0
2024-04-09,18.08,18.71,18.08,18.3,18.3,0
2024-04-10,17.95,18.8,17.47,18.67,18.67,0
2024-04-11,18.31,19.01,18.0,18.97,18.97,0
2024-04-12,21.75,24.19,20.07,20.21,20.21,0
2024-04-15,20.01,22.83,19.35,22.25,22.25,0
2024-04-16,21.11,21.26,20.43,20.56,20.56,0
2024-04-17,19.46,19.81,18.79,19.01,19.01,0
2024-04-18,18.75,20.21,18.44,18.65,18.65,0
2024-04-19,18.58,18.92,18.49,18.51,18.51,0
2024-04-22,18.02,18.05,17.71,17.76,17.76,0
2024-04-23,17.69,18.86,17.5,17.73,17.73,0
2024-04-24,17.54,17.96,17.4,17.45,17.45,0
2024-04-25,17.52,17.97,17.25,17.32,17.32,0
