Date,open,high,low,close,adjusted_close,volume
2020-01-02,28249.37,28543.52,28245.97,28543.52,28543.52,1262732826
2020-01-03,28828.36,28883.3,28428.17,28451.5,28451.5,1797904797
2020-01-06,28326.5,28367.87,28054.29,28226.19,28226.19,1793426572
2020-01-07,28352.68,28473.08,28264.07,28322.06,28322.06,1302687151
2020-01-08,27999.58,28198.61,27857.73,28087.92,28087.92,1709241647
2020-01-09,28367.65,28561.0,28325.86,28561.0,28561.0,1692786152
2020-01-10,28665.14,28665.14,28504.27,28638.2,28638.2,1448401020
2020-01-13,28772.37,28971.4,28671.84,28954.94,28954.94,1765055670
2020-01-14,29149.53,29149.53,28790.49,28885.14,28885.14,1643504703
2020-01-15,28891.07,28972.68,28619.1,28773.59,28773.59,1240120709
2020-01-16,28806.12,28987.73,28709.57,28883.04,28883.04,1620926206
2020-01-17,28988.16,29101.15,28813.13,29056.42,29056.42,1545082793
2020-01-20,29169.12,29174.92,28795.42,28795.91,28795.91,1633383855
2020-01-21,28449.38,28492.03,27980.5,27985.33,27985.33,2236521728
2020-01-22,28116.5,28393.93,27937.68,28341.04,28341.04,1343288068
2020-01-23,28109.75,28133.03,27706.37,27909.12,27909.12,1753263015
2020-01-24,27935.42,27977.63,27774.5,27949.64,27949.64,612128707
2020-01-29,27101.54,27333.3,27101.54,27160.63,27160.63,2203836097
2020-01-30,27030.61,27134.55,26330.05,26449.13,26449.13,2223567779
2020-01-31,26757.61,26818.84,26295.49,26312.63,26312.63,1874255198
2020-02-03,26189.61,26512.58,26145.59,26356.98,26356.98,2421482700
2020-02-04,26491.66,26730.26,26491.66,26675.98,26675.98,2500238139
2020-02-05,26869.32,26926.12,26641.92,26786.74,26786.74,2498930836
2020-02-06,27174.53,27608.22,27029.49,27493.7,27493.7,2249533855
2020-02-07,27356.28,27410.58,27224.12,27404.27,27404.27,1464514660
2020-02-10,27092.15,27314.64,27044.88,27241.34,27241.34,1612017904
2020-02-11,27514.25,27674.81,27436.99,27583.88,27583.88,1868625406
2020-02-12,27717.22,27892.48,27614.83,27823.66,27823.66,1796561176
2020-02-13,27953.65,27953.65,27695.6,27730.0,27730.0,1617010210
2020-02-14,27698.56,27960.66,27695.59,27815.6,27815.6,1445335917
2020-02-17,27766.71,28055.58,27766.71,27959.6,27959.6,1412999202
2020-02-18,27766.5,27771.3,27496.25,27530.2,27530.2,1592221421
2020-02-19,27486.46,27697.46,27448.6,27655.81,27655.81,1471538124
2020-02-20,27767.28,27767.28,27383.13,27609.16,27609.16,1582073061
