Date,open,high,low,close,adjusted_close,volume
2020-01-02,9639.1,9705.4,9615.1,9691.2,9691.2,142379552
2020-01-03,9631.2,9650.7,9581.2,9646.6,9646.6,135129959
2020-01-06,9585.4,9618.2,9492.7,9600.9,9600.9,103520383
2020-01-07,9623.1,9657.9,9557.9,9579.8,9579.8,133476121
2020-01-08,9535.1,9604.3,9520.3,9591.4,9591.4,133957556
2020-01-09,9629.2,9644.8,9573.8,9581.8,9581.8,151793544
2020-01-10,9611.3,9623.6,9557.9,9573.6,9573.6,132894525
2020-01-13,9586.6,9586.6,9507.4,9543.9,9543.9,124148994
2020-01-14,9548.1,9548.4,9466.0,9528.3,9528.3,143774640
2020-01-15,9521.2,9530.2,9475.0,9511.7,9511.7,161995005
2020-01-16,9516.7,9579.5,9481.6,9572.5,9572.5,133841455
2020-01-17,9616.1,9709.9,9611.3,9681.3,9681.3,159823152
2020-01-20,9676.6,9680.9,9623.1,9658.8,9658.8,99959228
2020-01-21,9593.4,9620.7,9550.0,9611.3,9611.3,126448843
2020-01-22,9622.0,9632.8,9557.0,9573.7,9573.7,134567833
2020-01-23,9549.4,9604.7,9499.3,9518.5,9518.5,169141038
2020-01-24,9576.8,9639.9,9552.5,9562.0,9562.0,154731088
2020-01-27,9447.1,9482.8,9357.8,9366.3,9366.3,164515522
2020-01-28,9401.8,9488.0,9363.8,9484.2,9484.2,154919407
2020-01-29,9532.7,9574.3,9510.7,9546.7,9546.7,187145751
2020-01-30,9460.8,9528.4,9439.3,9477.9,9477.9,164094234
2020-01-31,9519.3,9545.1,9365.1,9367.9,9367.9,303553676
2020-02-03,9404.4,9431.6,9361.5,9404.7,9404.7,168665743
2020-02-04,9465.9,9577.3,9462.4,9562.9,9562.9,174133921
2020-02-05,9553.4,9721.9,9540.2,9717.8,9717.8,221922891
2020-02-06,9767.1,9816.2,9757.0,9811.3,9811.3,248416664
2020-02-07,9789.3,9816.2,9761.8,9811.0,9811.0,179586933
2020-02-10,9790.6,9820.4,9773.5,9816.0,9816.0,132132533
2020-02-11,9863.4,9884.0,9817.8,9882.6,9882.6,167628319
2020-02-12,9897.9,9946.6,9888.6,9940.4,9940.4,199830235
2020-02-13,9893.9,9910.1,9794.3,9909.8,9909.8,161753508
2020-02-14,9910.9,9969.7,9905.2,9956.8,9956.8,127061815
2020-02-17,9979.2,10022.2,9955.2,10022.2,10022.2,105784157
2020-02-18,9977.4,10041.5,9967.8,10005.8,10005.8,184041966
2020-02-19,10042.0,10100.2,10020.7,10083.6,10083.6,151866127
2020-02-20,10048.7,10050.3,9931.0,9931.0,9931.0,178848986
2020-02-21,9893.0,9946.4,9843.5,9886.2,9886.2,194954548
2020-02-24,9649.8,9676.8,9459.6,9483.5,9483.5,256063844
2020-02-25,9507.0,9518.9,9248.0,9250.8,9250.8,263346191
2020-02-26,9213.0,9362.8,9030.7,9316.8,9316.8,299256332
2020-02-27,9182.2,9204.4,8877.4,8985.9,8985.9,341792575
2020-02-28,8748.1,8818.6,8582.7,8723.2,8723.2,497983918
2020-03-02,8910.2,8913.5,8541.1,8741.5,8741.5,355484983
2020-03-03,8860.2,9014.3,8776.4,8811.6,8811.6,351219853
2020-03-04,8827.8,8963.7,8745.9,8910.0,8910.0,321258307
2020-03-05,8960.8,8962.5,8639.9,8683.0,8683.0,342803456
2020-03-06,8532.6,8542.0,8310.4,8375.6,8375.6,345901065
2020-03-09,7884.0,8022.9,7621.4,7708.7,7708.7,598769151
2020-03-10,7815.6,8007.7,7440.6,7461.5,7461.5,506033951
2020-03-11,7589.3,7717.1,7364.6,7436.4,7436.4,369150138
2020-03-12,7040.8,7077.7,6347.0,6390.9,6390.9,723609128
2020-03-13,6763.7,7140.5,6468.3,6629.6,6629.6,473165817
2020-03-16,6331.0,6362.5,5814.5,6107.2,6107.2,583614726
2020-03-17,6444.5,6557.3,6083.0,6498.5,6498.5,388451824
2020-03-18,6370.5,6524.2,6174.1,6274.8,6274.8,398609545
2020-03-19,6368.2,6506.4,6228.3,6395.8,6395.8,346225464
2020-03-20,6645.4,6769.9,6371.1,6443.3,6443.3,486796180
2020-03-23,6223.7,6472.0,6148.0,6230.2,6230.2,282033219
2020-03-24,6433.3,6717.3,6403.6,6717.3,6717.3,301211933
2020-03-25,6985.9,7058.1,6625.8,6942.4,6942.4,322631927
2020-03-26,6789.0,7033.2,6759.1,7033.2,7033.2,248806598
2020-03-27,6916.7,6936.7,6661.9,6777.9,6777.9,225316499
2020-03-30,6748.6,6789.1,6507.0,6659.9,6659.9,232005167
2020-03-31,6746.8,6802.0,6624.7,6785.4,6785.4,258181158
2020-04-01,6627.3,6687.8,6565.2,6579.4,6579.4,235113680
2020-04-02,6633.7,6658.9,6424.5,6574.1,6574.1,233309758
2020-04-03,6563.6,6632.5,6509.4,6581.6,6581.6,215387547
2020-04-06,6807.9,6874.9,6728.6,6844.3,6844.3,225965420
2020-04-07,6986.9,7119.1,6903.6,7002.0,7002.0,260857525
2020-04-08,6930.2,6952.5,6860.6,6951.8,6951.8,155910074
2020-04-09,7049.3,7116.8,6918.7,7070.6,7070.6,240348647
2020-04-14,7209.7,7209.7,7080.3,7108.6,7108.6,259986212
2020-04-15,7065.6,7086.8,6816.4,6839.5,6839.5,289924457
2020-04-16,6930.8,6950.9,6733.1,6763.4,6763.4,237962580
2020-04-17,6942.5,7000.3,6845.0,6875.8,6875.8,251272597
2020-04-20,6932.5,6933.3,6715.0,6831.5,6831.5,186644526
2020-04-21,6741.3,6760.9,6634.9,6634.9,6634.9,200783002
2020-04-22,6685.1,6729.6,6654.2,6719.8,6719.8,177928473
2020-04-23,6758.7,6797.6,6713.6,6746.5,6746.5,163723540
2020-04-24,6641.3,6710.8,6578.1,6613.9,6613.9,182925288
2020-04-27,6780.9,6790.1,6667.3,6731.8,6731.8,147263137
2020-04-28,6724.6,6857.9,6707.9,6836.4,6836.4,233782371
2020-04-29,6829.4,7055.7,6816.8,7055.7,7055.7,247762447
2020-04-30,7084.8,7128.4,6918.3,6922.3,6922.3,314979188
2020-05-04,6767.7,6767.7,6673.3,6673.3,6673.3,241555244
2020-05-05,6772.2,6815.9,6680.7,6747.7,6747.7,203873550
2020-05-06,6719.8,6762.5,6666.2,6671.7,6671.7,166015203
2020-05-07,6714.9,6747.2,6666.4,6730.9,6730.9,167460656
2020-05-08,6790.7,6807.4,6715.4,6783.1,6783.1,128578266
2020-05-11,6830.9,6854.7,6651.7,6672.2,6672.2,217443267
2020-05-12,6672.7,6795.1,6663.2,6762.7,6762.7,172853620
2020-05-13,6694.0,6728.2,6631.4,6631.4,6631.4,245673601
2020-05-14,6569.7,6609.0,6421.4,6545.6,6545.6,258952854
2020-05-15,6594.4,6624.3,6466.0,6474.9,6474.9,203854402
2020-05-18,6583.1,6790.2,6558.1,6779.3,6779.3,203486554
2020-05-19,6864.2,6872.6,6555.6,6609.1,6609.1,501358301
2020-05-20,6593.4,6697.1,6499.1,6683.6,6683.6,341451830
2020-05-21,6612.7,6773.4,6579.9,6686.1,6686.1,258583108
2020-05-22,6618.2,6751.8,6585.7,6697.5,6697.5,292688331
2020-05-25,6766.6,6856.8,6725.2,6856.8,6856.8,187072830
2020-05-26,6940.6,7023.8,6917.1,7003.9,7003.9,383729065
2020-05-27,7034.0,7229.0,7030.2,7174.5,7174.5,501006637
2020-05-28,7237.3,7244.5,7141.4,7224.1,7224.1,375466584
2020-05-29,7164.3,7201.8,7096.5,7096.5,7096.5,903979937
2020-06-01,7228.7,7276.0,7160.1,7221.4,7221.4,291929577
2020-06-02,7264.0,7445.3,7236.9,7408.1,7408.1,402947085
2020-06-03,7487.3,7629.7,7448.9,7626.4,7626.4,445036446
2020-06-04,7567.7,7669.2,7516.0,7566.8,7566.8,514858007
2020-06-05,7672.0,7890.4,7664.1,7872.6,7872.6,573283948
2020-06-08,7813.1,7992.7,7796.6,7896.1,7896.1,557213274
2020-06-09,7878.2,7914.7,7683.2,7752.3,7752.3,453061868
2020-06-10,7779.8,7861.0,7649.4,7663.9,7663.9,355564622
2020-06-11,7486.5,7486.5,7278.0,7278.0,7278.0,456667782
2020-06-12,7232.2,7425.3,7205.0,7292.7,7292.7,370125135
2020-06-15,7116.9,7309.4,7062.9,7259.3,7259.3,329041940
2020-06-16,7420.8,7599.3,7349.7,7495.3,7495.3,388212634
2020-06-17,7458.1,7552.5,7402.5,7478.7,7478.7,333500573
2020-06-18,7436.4,7495.2,7318.1,7390.2,7390.2,326763220
2020-06-19,7444.2,7502.1,7401.0,7414.2,7414.2,634635171
2020-06-22,7371.6,7426.9,7300.7,7345.7,7345.7,220420484
2020-06-23,7408.8,7495.1,7366.6,7438.4,7438.4,260896378
2020-06-24,7403.9,7440.9,7195.5,7195.5,7195.5,248464391
2020-06-25,7176.4,7295.8,7077.8,7270.3,7270.3,267871655
2020-06-26,7324.5,7344.9,7172.1,7178.4,7178.4,215724328
2020-06-29,7160.1,7318.3,7146.3,7278.1,7278.1,216619376
2020-06-30,7270.6,7307.5,7173.0,7231.4,7231.4,233654683
2020-07-01,7245.6,7283.9,7127.1,7227.4,7227.4,194032052
2020-07-02,7292.7,7538.2,7292.7,7498.6,7498.6,310243580
2020-07-03,7510.3,7520.6,7374.9,7403.5,7403.5,181466957
2020-07-06,7566.5,7632.3,7517.3,7556.2,7556.2,253508328
2020-07-07,7491.5,7511.3,7441.3,7447.4,7447.4,191351118
2020-07-08,7361.0,7382.7,7307.4,7326.4,7326.4,213489269
2020-07-09,7369.9,7383.5,7221.1,7236.9,7236.9,176465593
2020-07-10,7198.4,7324.3,7183.2,7321.1,7321.1,182314541
2020-07-13,7403.2,7452.1,7345.9,7426.9,7426.9,179024242
2020-07-14,7344.4,7352.0,7268.4,7352.0,7352.0,201386910
2020-07-15,7416.1,7529.6,7317.6,7487.6,7487.6,262957891
2020-07-16,7438.8,7498.0,7425.3,7474.7,7474.7,178623856
2020-07-17,7474.1,7485.0,7395.8,7440.4,7440.4,196831932
2020-07-20,7442.5,7495.5,7365.1,7478.0,7478.0,148683051
2020-07-21,7554.2,7654.8,7473.5,7494.5,7494.5,300453070
2020-07-22,7474.7,7498.6,7368.2,7390.1,7390.1,192701162
2020-07-23,7434.7,7442.2,7357.2,7384.9,7384.9,167589002
2020-07-24,7301.8,7322.7,7241.1,7294.7,7294.7,183906106
2020-07-27,7267.8,7268.0,7141.3,7170.6,7170.6,232707550
2020-07-28,7191.9,7257.3,7170.6,7246.4,7246.4,162297171
2020-07-29,7247.6,7260.2,7171.3,7206.2,7206.2,210361733
2020-07-30,7192.3,7192.7,6924.7,6996.6,6996.6,324376465
2020-07-31,7025.2,7049.5,6877.4,6877.4,6877.4,312298146
2020-08-03,6867.4,6983.3,6788.9,6975.0,6975.0,282337314
2020-08-04,7003.0,7064.8,6955.4,7021.6,7021.6,225241997
2020-08-05,7073.2,7123.5,7027.7,7039.7,7039.7,208795890
2020-08-06,7022.1,7046.1,6917.0,6957.9,6957.9,205847273
2020-08-07,6929.1,6961.8,6876.7,6950.5,6950.5,184150997
2020-08-10,7004.4,7053.9,6957.0,7053.9,7053.9,208030762
2020-08-11,7104.0,7290.1,7104.0,7263.5,7263.5,271632252
2020-08-12,7250.3,7317.9,7225.7,7296.0,7296.0,219850307
2020-08-13,7267.9,7321.9,7240.8,7250.5,7250.5,159766330
2020-08-14,7224.1,7227.6,7064.0,7154.3,7154.3,175803834
2020-08-17,7141.5,7173.3,7064.1,7090.1,7090.1,131241199
2020-08-18,7065.7,7165.6,7024.4,7043.5,7043.5,142775173
2020-08-19,7039.1,7094.3,7002.8,7094.3,7094.3,132230049
2020-08-20,7011.4,7034.5,6974.9,6993.3,6993.3,155668635
2020-08-21,7016.7,7025.9,6900.5,6982.1,6982.1,171116450
2020-08-24,7044.2,7120.8,7037.3,7109.1,7109.1,147789226
2020-08-25,7147.9,7215.1,7103.2,7108.4,7108.4,189748529
2020-08-26,7088.4,7136.5,7070.4,7123.0,7123.0,122064525
2020-08-27,7114.1,7130.2,7029.2,7090.7,7090.7,162183037
2020-08-28,7114.7,7162.9,7055.1,7133.0,7133.0,193354864
2020-08-31,7174.3,7198.3,6960.0,6969.5,6969.5,205260565
2020-09-01,7038.5,7042.0,6903.0,6956.9,6956.9,226079841
2020-09-02,6973.1,7046.1,6963.9,6996.9,6996.9,208505300
2020-09-03,7065.2,7159.6,6971.2,7006.0,7006.0,246671124
2020-09-04,7015.7,7133.4,6954.7,6989.7,6989.7,462539120
2020-09-07,7032.8,7098.0,7013.0,7080.7,7080.7,257575149
2020-09-08,7087.9,7102.6,6899.0,6955.0,6955.0,246699192
2020-09-09,6946.4,7038.6,6938.9,7020.9,7020.9,202896617
2020-09-10,7020.6,7050.9,6967.4,6999.2,6999.2,211096023
2020-09-11,6989.4,7000.9,6910.4,6943.2,6943.2,209115166
2020-09-14,6989.8,7005.7,6935.0,6951.1,6951.1,199767406
2020-09-15,6958.9,7064.0,6954.8,7036.0,7036.0,204185236
2020-09-16,7048.3,7110.8,7020.7,7110.8,7110.8,239805866
2020-09-17,7027.1,7101.8,7013.8,7086.2,7086.2,214242311
2020-09-18,7073.8,7075.3,6923.6,6929.8,6929.8,975211980
2020-09-21,6892.9,6892.9,6678.8,6692.3,6692.3,384700975
2020-09-22,6752.9,6758.0,6645.6,6648.6,6648.6,286493667
2020-09-23,6717.8,6781.1,6654.2,6654.2,6654.2,294826150
2020-09-24,6577.6,6705.7,6562.6,6643.4,6643.4,285830208
2020-09-25,6647.4,6681.9,6552.3,6628.3,6628.3,263364351
2020-09-28,6709.2,6798.9,6681.4,6791.5,6791.5,212053844
2020-09-29,6769.5,6790.7,6713.6,6713.6,6713.6,198774108
2020-09-30,6663.6,6771.1,6639.7,6716.6,6716.6,247927540
2020-10-01,6789.1,6800.8,6701.2,6730.7,6730.7,227516016
2020-10-02,6675.4,6754.5,6648.9,6754.5,6754.5,227139413
2020-10-05,6814.5,6851.0,6794.1,6837.9,6837.9,237493373
2020-10-06,6860.1,6975.4,6838.8,6936.2,6936.2,265233543
2020-10-07,6920.2,6952.6,6887.1,6910.1,6910.1,207416215
2020-10-08,6953.2,7018.8,6951.7,6992.8,6992.8,202093028
2020-10-09,6992.9,7024.6,6936.7,6950.9,6950.9,182746297
2020-10-12,6968.8,6979.9,6924.8,6951.0,6951.0,167258190
2020-10-13,6945.2,6960.6,6854.6,6875.2,6875.2,205874254
2020-10-14,6880.4,6946.8,6846.5,6916.6,6916.6,178694373
2020-10-15,6840.2,6842.3,6763.0,6816.8,6816.8,237247010
2020-10-16,6851.9,6877.0,6784.6,6849.7,6849.7,234162008
2020-10-19,6882.1,6932.8,6816.4,6860.2,6860.2,173622553
2020-10-20,6834.8,6972.1,6826.7,6927.3,6927.3,221477820
2020-10-21,6961.5,6962.2,6806.1,6811.5,6811.5,207333213
2020-10-22,6775.2,6839.5,6709.3,6796.6,6796.6,212045299
2020-10-23,6802.1,6902.0,6791.9,6893.4,6893.4,221927805
2020-10-26,6797.9,6904.2,6789.7,6796.9,6796.9,195991230
2020-10-27,6845.2,6846.7,6647.0,6651.3,6651.3,273169249
2020-10-28,6560.8,6563.8,6423.3,6474.4,6474.4,323758013
2020-10-29,6467.7,6514.0,6329.5,6411.8,6411.8,298195736
2020-10-30,6351.4,6461.6,6345.3,6452.2,6452.2,260708321
2020-11-02,6481.4,6590.7,6396.3,6585.6,6585.6,222245228
2020-11-03,6636.1,6760.8,6608.7,6751.6,6751.6,281852450
2020-11-04,6616.7,6790.8,6563.7,6781.9,6781.9,274816167
2020-11-05,6833.5,6948.3,6814.2,6924.2,6924.2,255824724
2020-11-06,6890.6,6940.4,6829.4,6870.4,6870.4,206308131
2020-11-09,6972.3,7535.3,6945.8,7459.4,7459.4,751200597
2020-11-10,7447.1,7720.3,7439.5,7711.4,7711.4,705610455
2020-11-11,7733.8,7804.6,7675.8,7793.7,7793.7,401246907
2020-11-12,7721.7,7773.3,7688.0,7726.0,7726.0,309657391
2020-11-13,7698.6,7823.1,7686.2,7783.7,7783.7,297808569
2020-11-16,7905.9,8102.4,7879.0,7986.2,7986.2,601880586
2020-11-17,7979.0,7979.0,7835.8,7934.3,7934.3,428970087
2020-11-18,7914.1,7994.3,7888.7,7981.5,7981.5,296385834
2020-11-19,7907.2,7978.8,7863.9,7930.2,7930.2,261607306
2020-11-20,7938.8,8001.1,7920.0,7977.9,7977.9,232651467
2020-11-23,8029.1,8067.3,7972.2,7981.2,7981.2,278312998
