Date,open,high,low,close,adjusted_close,volume
2024-01-02,114.62,127.02,114.62,127.02,127.02,0
2024-01-03,127.02,127.02,124.57,124.57,124.57,0
2024-01-04,124.57,124.57,121.12,121.12,121.12,0
2024-01-05,121.12,121.12,116.19,116.19,116.19,0
2024-01-08,121.12,121.12,117.72,117.72,117.72,0
2024-01-09,117.72,117.72,114.92,114.92,114.92,0
2024-01-10,114.92,114.92,109.63,109.63,109.63,0
2024-01-11,109.63,109.63,103.45,103.45,103.45,0
2024-01-12,103.45,106.51,103.45,106.51,106.51,0
2024-01-16,106.51,113.44,106.51,113.44,113.44,0
2024-01-17,113.44,113.44,105.86,105.86,105.86,0
2024-01-18,105.86,107.22,105.86,107.22,107.22,0
2024-01-19,107.22,107.22,104.97,104.97,104.97,0
2024-01-22,107.22,107.22,106.87,106.87,106.87,0
2024-01-23,106.87,107.7,106.87,107.7,107.7,0
2024-01-24,107.7,107.7,105.78,105.78,105.78,0
2024-01-25,105.78,105.89,105.78,105.89,105.89,0
2024-01-26,105.89,105.89,100.23,100.23,100.23,0
2024-01-29,105.89,106.34,105.89,106.34,106.34,0
2024-01-30,106.34,106.34,104.26,104.26,104.26,0
2024-01-31,104.26,107.28,104.26,107.28,107.28,0
2024-02-01,107.28,113.92,107.28,113.92,113.92,0
2024-02-02,113.92,113.92,106.72,106.72,106.72,0
2024-02-05,113.92,113.92,108.68,108.68,108.68,0
2024-02-06,108.68,110.6,108.68,110.6,110.6,0
2024-02-07,110.6,110.6,107.86,107.86,107.86,0
2024-02-08,107.86,108.6,107.86,108.6,108.6,0
2024-02-09,108.6,108.6,106.21,106.21,106.21,0
2024-02-12,108.6,109.78,108.6,109.78,109.78,0
2024-02-13,109.78,113.22,109.78,113.22,113.22,0
2024-02-14,113.22,113.22,111.97,111.97,111.97,0
2024-02-15,111.97,112.09,111.97,112.09,112.09,0
2024-02-16,112.09,112.09,109.2,109.2,109.2,0
2024-02-20,109.2,111.02,109.2,111.02,111.02,0
2024-02-21,111.02,114.27,111.02,114.27,114.27,0
2024-02-22,114.27,115.59,114.27,115.59,115.59,0
2024-02-23,115.59,115.59,108.31,108.31,108.31,0
2024-02-26,115.59,115.59,110.77,110.77,110.77,0
2024-02-27,110.77,110.8,110.77,110.8,110.8,0
2024-02-28,110.8,110.8,108.71,108.71,108.71,0
2024-02-29,108.71,109.1,108.71,109.1,109.1,0
2024-03-01,109.1,109.1,106.48,106.48,106.48,0
2024-03-04,109.1,109.57,109.1,109.57,109.57,0
2024-03-05,109.57,110.33,109.57,110.33,110.33,0
2024-03-06,110.33,110.33,105.33,105.33,105.33,0
2024-03-07,105.33,105.45,105.33,105.45,105.45,0
2024-03-08,105.45,105.45,100.88,100.88,100.88,0
2024-03-11,105.45,106.63,105.45,106.63,106.63,0
2024-03-12,106.63,106.63,101.36,101.36,101.36,0
2024-03-13,101.36,101.36,97.03,97.03,97.03,0
2024-03-14,97.03,98.67,97.03,98.67,98.67,0
2024-03-15,98.67,98.67,97.82,97.82,97.82,0
2024-03-18,97.82,102.87,97.82,102.87,102.87,0
2024-03-19,102.87,102.87,99.99,99.99,99.99,0
2024-03-20,99.99,99.99,92.72,92.72,92.72,0
2024-03-21,92.72,92.72,90.82,90.82,90.82,0
2024-03-22,90.82,91.04,90.82,91.04,91.04,0
2024-03-25,90.82,92.24,90.82,92.24,92.24,0
2024-03-26,92.24,92.24,90.63,90.63,90.63,0
2024-03-27,90.63,90.63,86.28,86.28,86.28,0
2024-03-28,86.28,86.38,86.28,86.38,86.38,0
2024-04-01,86.38,94.2,86.38,94.2,94.2,0
2024-04-02,94.2,96.57,94.2,96.57,96.57,0
2024-04-03,96.57,97.88,96.57,97.88,97.88,0
2024-04-04,97.88,97.88,96.13,96.13,96.13,0
2024-04-05,96.13,96.13,94.31,94.31,94.31,0
2024-04-08,96.13,99.37,96.13,99.37,99.37,0
2024-04-09,99.37,99.37,98.73,98.73,98.73,0
2024-04-10,98.73,109.59,98.73,109.59,109.59,0
2024-04-11,109.59,109.59,108.86,108.86,108.86,0
2024-04-12,108.86,112.82,108.86,112.82,112.82,0
2024-04-15,112.82,121.15,112.82,121.15,121.15,0
2024-04-16,121.15,121.15,119.59,119.59,119.59,0
2024-04-17,119.59,119.59,113.29,113.29,113.29,0
2024-04-18,113.29,113.29,108.66,108.66,108.66,0
2024-04-19,108.66,111.26,108.66,111.26,111.26,0
2024-04-22,111.26,111.26,108.56,108.56,108.56,0
2024-04-23,108.56,108.56,106.85,106.85,106.85,0
2024-04-24,106.85,110.21,106.85,110.21,110.21,0
2024-04-25,110.21,110.21,108.55,108.55,108.55,0
2024-04-26,108.55,108.55,104.4,104.4,104.4,0
2024-04-29,104.4,105.42,104.4,105.42,105.42,0
2024-04-30,105.42,107.46,105.42,107.46,107.46,0
2024-05-01,107.46,107.46,100.64,100.64,100.64,0
2024-05-02,100.64,100.7,100.64,100.7,100.7,0
2024-05-03,100.7,100.7,95.96,95.96,95.96,0
2024-05-06,95.96,95.96,94.5,94.5,94.5,0
2024-05-07,94.5,98.04,94.5,98.04,98.04,0
2024-05-08,98.04,98.04,95.58,95.58,95.58,0
2024-05-09,95.58,95.58,93.85,93.85,93.85,0
2024-05-10,93.85,94.23,93.85,94.23,94.23,0
2024-05-13,94.23,105.35,94.23,105.35,105.35,0
2024-05-14,105.35,106.55,105.35,106.55,106.55,0
2024-05-15,106.55,106.55,93.78,93.78,93.78,0
2024-05-16,93.78,93.78,91.83,91.83,91.83,0
2024-05-17,91.83,91.83,89.35,89.35,89.35,0
2024-05-20,89.35,89.35,88.13,88.13,88.13,0
2024-05-21,88.13,88.13,85.34,85.34,85.34,0
2024-05-22,85.34,85.34,82.49,82.49,82.49,0
2024-05-23,82.49,86.15,82.49,86.15,86.15,0
2024-05-24,86.15,86.15,83.57,83.57,83.57,0
2024-05-28,83.57,89.67,83.57,89.67,89.67,0
2024-05-29,89.67,93.45,89.67,93.45,93.45,0
2024-05-30,93.45,93.45,91.09,91.09,91.09,0
2024-05-31,91.09,91.14,91.09,91.14,91.14,0
2024-06-03,91.14,93.92,91.14,93.92,93.92,0
2024-06-04,93.92,100.11,93.92,100.11,100.11,0
2024-06-05,100.11,102.43,100.11,102.43,102.43,0
2024-06-06,102.43,102.43,100.99,100.99,100.99,0
2024-06-07,100.99,100.99,91.82,91.82,91.82,0
2024-06-10,91.82,94.16,91.82,94.16,94.16,0
2024-06-11,94.16,97.27,94.16,97.27,97.27,0
2024-06-12,97.27,97.27,91.73,91.73,91.73,0
2024-06-13,91.73,91.93,91.73,91.93,91.93,0
2024-06-14,91.93,100.16,91.93,100.16,100.16,0
2024-06-17,100.16,100.16,99.07,99.07,99.07,0
2024-06-18,99.07,99.07,97.99,97.99,97.99,0
2024-06-20,97.99,97.99,94.14,94.14,94.14,0
2024-06-21,94.14,94.14,94.09,94.09,94.09,0
2024-06-24,94.09,95.2,94.09,95.2,95.2,0
2024-06-25,95.2,96.97,95.2,96.97,96.97,0
2024-06-26,96.97,97.91,96.97,97.91,97.91,0
2024-06-27,97.91,97.91,95.69,95.69,95.69,0
2024-06-28,95.69,98.59,95.69,98.59,98.59,0
2024-07-01,98.59,106.23,98.59,106.23,106.23,0
2024-07-02,106.23,107.51,106.23,107.51,107.51,0
2024-07-03,107.51,107.51,102.83,102.83,102.83,0
2024-07-05,102.83,102.83,98.78,98.78,98.78,0
2024-07-08,98.78,98.78,97.96,97.96,97.96,0
2024-07-09,97.96,97.96,95.62,95.62,95.62,0
2024-07-10,95.62,95.62,92.97,92.97,92.97,0
2024-07-11,92.97,92.97,89.67,89.67,89.67,0
2024-07-12,89.67,89.67,86.79,86.79,86.79,0
2024-07-15,86.79,94.5,86.79,94.5,94.5,0
2024-07-16,94.5,94.5,93.87,93.87,93.87,0
2024-07-17,93.87,93.87,91.0,91.0,91.0,0
2024-07-18,91.0,91.97,91.0,91.97,91.97,0
2024-07-19,91.97,94.29,91.97,94.29,94.29,0
2024-07-22,94.29,94.45,94.29,94.45,94.45,0
2024-07-23,94.45,95.04,94.45,95.04,95.04,0
2024-07-24,95.04,95.04,94.81,94.81,94.81,0
2024-07-25,94.81,99.08,94.81,99.08,99.08,0
2024-07-26,99.08,99.08,97.76,97.76,97.76,0
2024-07-29,97.76,98.65,97.76,98.65,98.65,0
2024-07-30,98.65,100.42,98.65,100.42,100.42,0
2024-07-31,100.42,100.42,99.41,99.41,99.41,0
2024-08-01,99.41,101.82,99.41,101.82,101.82,0
2024-08-02,101.82,112.26,101.82,112.26,112.26,0
2024-08-05,112.26,121.22,112.26,121.22,121.22,0
2024-08-06,121.22,121.22,119.24,119.24,119.24,0
2024-08-07,119.24,119.24,112.69,112.69,112.69,0
2024-08-08,112.69,112.69,110.42,110.42,110.42,0
2024-08-09,110.42,110.42,108.26,108.26,108.26,0
2024-08-12,108.26,118.26,108.26,118.26,118.26,0
2024-08-13,118.26,118.44,118.26,118.44,118.44,0
2024-08-14,118.44,118.44,106.34,106.34,106.34,0
2024-08-15,106.34,106.34,103.74,103.74,103.74,0
2024-08-16,103.74,103.74,102.81,102.81,102.81,0
2024-08-19,102.81,110.13,102.81,110.13,110.13,0
2024-08-20,110.13,111.57,110.13,111.57,111.57,0
2024-08-21,111.57,111.57,111.38,111.38,111.38,0
2024-08-22,111.38,111.38,108.5,108.5,108.5,0
2024-08-23,108.5,108.5,105.63,105.63,105.63,0
2024-08-26,105.63,106.66,105.63,106.66,106.66,0
2024-08-27,106.66,109.22,106.66,109.22,109.22,0
2024-08-28,109.22,109.22,108.76,108.76,108.76,0
2024-08-29,108.76,108.76,106.7,106.7,106.7,0
2024-08-30,106.7,107.77,106.7,107.77,107.77,0
2024-09-03,107.77,114.2,107.77,114.2,114.2,0
2024-09-04,114.2,119.15,114.2,119.15,119.15,0
2024-09-05,119.15,119.15,114.81,114.81,114.81,0
2024-09-06,114.81,114.81,107.24,107.24,107.24,0
