Date,open,high,low,close,adjusted_close,volume
2024-01-02,38.81,39.1,37.21,39.05,39.05,0
2024-01-03,39.85,39.96,37.99,38.22,38.22,0
2024-01-04,38.8,39.23,37.42,37.58,37.58,0
2024-01-05,38.43,39.54,36.04,36.07,36.07,0
2024-01-08,37.83,38.59,36.77,36.79,36.79,0
2024-01-09,37.75,37.75,35.57,36.09,36.09,0
2024-01-10,38.01,38.01,35.54,36.35,36.35,0
2024-01-11,38.28,38.28,35.21,36.78,36.78,0
2024-01-12,40.38,40.93,36.37,40.64,40.64,0
2024-01-16,41.06,41.06,36.71,38.34,38.34,0
2024-01-17,39.7,39.7,36.92,37.06,37.06,0
2024-01-18,39.74,39.87,35.53,35.98,35.98,0
2024-01-19,36.33,36.33,34.58,35.79,35.79,0
2024-01-22,36.78,36.78,34.77,35.71,35.71,0
2024-01-23,37.21,37.21,34.62,34.99,34.99,0
2024-01-24,35.59,35.59,33.92,33.99,33.99,0
2024-01-25,35.18,35.99,33.78,35.1,35.1,0
2024-01-26,37.06,37.31,33.84,34.78,34.78,0
2024-01-29,37.38,37.43,36.08,36.32,36.32,0
2024-01-30,38.93,38.93,35.96,36.19,36.19,0
2024-01-31,37.34,38.22,36.43,37.25,37.25,0
2024-02-01,37.5,37.5,34.81,35.38,35.38,0
2024-02-02,38.49,38.49,34.6,34.85,34.85,0
2024-02-05,37.45,37.76,34.25,34.43,34.43,0
2024-02-06,37.22,37.22,33.01,33.01,33.01,0
2024-02-07,35.55,35.55,31.21,31.21,31.21,0
2024-02-08,33.28,33.28,30.65,31.64,31.64,0
2024-02-09,33.6,33.8,31.66,32.44,32.44,0
2024-02-12,35.01,35.01,32.56,32.69,32.69,0
2024-02-13,34.93,34.93,32.18,32.37,32.37,0
2024-02-14,34.45,34.45,31.86,32.76,32.76,0
2024-02-15,34.35,34.35,31.87,32.02,32.02,0
2024-02-16,34.73,34.73,30.76,30.84,30.84,0
2024-02-20,32.38,32.78,31.71,31.81,31.81,0
2024-02-21,33.83,33.83,30.87,31.05,31.05,0
2024-02-22,31.45,31.45,30.51,30.55,30.55,0
2024-02-23,31.53,31.53,30.86,31.31,31.31,0
2024-02-26,32.55,32.55,31.59,31.71,31.71,0
2024-02-27,31.94,31.98,31.25,31.35,31.35,0
2024-02-28,31.32,33.18,30.84,31.21,31.21,0
2024-02-29,31.95,32.42,31.13,31.5,31.5,0
2024-03-01,31.14,31.46,30.89,31.08,31.08,0
2024-03-04,32.99,33.03,30.47,30.47,30.47,0
2024-03-05,33.22,33.22,29.6,30.19,30.19,0
2024-03-06,30.12,32.12,29.46,29.57,29.57,0
2024-03-07,30.42,30.42,29.31,29.57,29.57,0
2024-03-08,29.78,29.92,29.49,29.64,29.64,0
2024-03-11,30.83,31.07,28.91,29.11,29.11,0
2024-03-12,30.46,30.46,28.48,29.36,29.36,0
2024-03-13,29.1,29.52,28.78,29.52,29.52,0
2024-03-14,31.92,33.39,26.89,31.51,31.51,0
2024-03-15,31.99,33.2,29.58,29.77,29.77,0
2024-03-18,30.46,30.46,29.69,29.81,29.81,0
2024-03-19,30.09,30.09,29.22,29.22,29.22,0
2024-03-20,29.96,29.96,28.8,28.82,28.82,0
2024-03-21,29.99,30.1,27.51,27.53,27.53,0
2024-03-22,27.49,27.49,26.59,26.92,26.92,0
2024-03-25,27.23,27.76,27.16,27.49,27.49,0
2024-03-26,27.51,27.75,27.03,27.25,27.25,0
2024-03-27,26.43,26.66,26.05,26.6,26.6,0
2024-03-28,26.53,26.55,25.86,26.27,26.27,0
2024-04-01,27.24,27.73,25.98,27.65,27.65,0
2024-04-02,27.66,29.28,26.43,29.04,29.04,0
2024-04-03,28.8,30.05,28.7,29.08,29.08,0
2024-04-04,27.49,35.09,27.49,32.17,32.17,0
2024-04-05,33.62,33.72,31.81,32.36,32.36,0
2024-04-08,31.19,31.46,30.19,30.57,30.57,0
2024-04-09,29.67,29.79,28.4,28.96,28.96,0
