Date,open,high,low,close,adjusted_close,volume
2024-12-13,169.91,169.91,169.91,169.91,169.91,0
2024-12-16,166.79,166.79,166.79,166.79,166.79,0
2024-12-17,173.04,173.04,173.04,173.04,173.04,0
2024-12-18,168.92,168.92,168.92,168.92,168.92,0
2024-12-19,163.1,163.1,163.1,163.1,163.1,0
2024-12-20,161.21,161.21,161.21,161.21,161.21,0
2024-12-23,170.65,170.65,170.65,170.65,170.65,1
2024-12-24,180.09,180.09,180.09,180.09,180.09,1
2024-12-26,173.72,173.72,173.72,173.72,173.72,1
2024-12-27,167.92,167.92,167.92,167.92,167.92,1
2024-12-30,161.08,161.08,161.08,161.08,161.08,1
2024-12-31,169.16,169.16,169.16,169.16,169.16,1
2025-01-02,157.2,157.2,157.2,157.2,157.2,1
2025-01-03,157.32,157.32,157.32,157.32,157.32,1
2025-01-06,152.64,152.64,152.64,152.64,152.64,1
2025-01-07,155.1,155.1,155.1,155.1,155.1,1
2025-01-08,154.34,154.34,154.34,154.34,154.34,1
2025-01-10,151.45,151.45,151.45,151.45,151.45,1
2025-01-13,170.55,170.55,170.55,170.55,170.55,1
2025-01-14,167.64,167.64,167.64,167.64,167.64,1
2025-01-15,163.54,163.54,163.54,163.54,163.54,1
2025-01-16,167.41,167.41,167.41,167.41,167.41,1
2025-01-17,165.35,165.35,165.35,165.35,165.35,1
2025-01-21,173.0,173.0,173.0,173.0,173.0,1
2025-01-22,179.98,179.98,179.98,179.98,179.98,1
2025-01-23,179.32,179.32,179.32,179.32,179.32,1
2025-01-24,173.16,173.16,173.16,173.16,173.16,1
2025-01-27,168.55,168.55,168.55,168.55,168.55,1
2025-01-28,163.64,163.64,163.64,163.64,163.64,1
2025-01-29,157.43,157.43,157.43,157.43,157.43,1
2025-01-30,156.7,156.7,156.7,156.7,156.7,0
2025-01-31,158.47,158.47,158.47,158.47,158.47,0
2025-02-03,155.45,155.45,155.45,155.45,155.45,0
2025-02-04,159.44,159.44,159.44,159.44,159.44,0
2025-02-05,162.64,162.64,162.64,162.64,162.64,0
2025-02-06,163.57,163.57,163.57,163.57,163.57,0
2025-02-07,166.53,166.53,166.53,166.53,166.53,0
2025-02-10,166.95,166.95,166.95,166.95,166.95,0
2025-02-11,168.81,168.81,168.81,168.81,168.81,0
2025-02-12,166.1,166.1,166.1,166.1,166.1,0
2025-02-13,163.36,163.36,163.36,163.36,163.36,0
2025-02-14,167.97,167.97,167.97,167.97,167.97,0
2025-02-18,183.12,183.12,183.12,183.12,183.12,0
2025-02-19,175.76,175.76,175.76,175.76,175.76,0
2025-02-20,178.57,178.57,178.57,178.57,178.57,0
2025-02-21,165.0,165.0,165.0,165.0,165.0,0
2025-02-24,156.93,156.93,156.93,156.93,156.93,0
2025-02-25,157.6,157.6,157.6,157.6,157.6,0
2025-02-26,153.44,153.44,153.44,153.44,153.44,0
2025-02-27,149.32,149.32,149.32,149.32,149.32,0
2025-02-28,157.94,157.94,157.94,157.94,157.94,0
2025-03-03,154.26,154.26,154.26,154.26,154.26,0
2025-03-04,151.38,151.38,151.38,151.38,151.38,0
2025-03-05,138.88,138.88,138.88,138.88,138.88,0
2025-03-06,137.65,137.65,137.65,137.65,137.65,0
2025-03-07,139.94,139.94,139.94,139.94,139.94,0
2025-03-10,146.04,146.04,146.04,146.04,146.04,0
2025-03-11,132.79,132.79,132.79,132.79,132.79,0
2025-03-12,128.69,128.69,128.69,128.69,128.69,0
2025-03-13,128.86,128.86,128.86,128.86,128.86,0
2025-03-14,130.3,130.3,130.3,130.3,130.3,0
2025-03-17,133.9,133.9,133.9,133.9,133.9,0
2025-03-18,136.75,136.75,136.75,136.75,136.75,0
2025-03-19,136.45,136.45,136.45,136.45,136.45,0
2025-03-20,140.79,140.79,140.79,140.79,140.79,0
2025-03-21,141.73,141.73,141.73,141.73,141.73,0
2025-03-24,144.01,144.01,144.01,144.01,144.01,0
2025-03-25,148.68,148.68,148.68,148.68,148.68,0
2025-03-26,144.75,144.75,144.75,144.75,144.75,0
2025-03-27,140.85,140.85,140.85,140.85,140.85,0
2025-03-28,139.04,139.04,139.04,139.04,139.04,0
2025-03-31,148.58,148.58,148.58,148.58,148.58,0
2025-04-01,143.01,143.01,143.01,143.01,143.01,0
2025-04-02,144.27,144.27,144.27,144.27,144.27,0
2025-04-03,139.2,139.2,139.2,139.2,139.2,0
2025-04-04,136.54,136.54,136.54,136.54,136.54,0
2025-04-07,133.82,133.82,133.82,133.82,133.82,0
2025-04-08,135.68,135.68,135.68,135.68,135.68,0
2025-04-09,142.23,142.23,142.23,142.23,142.23,0
2025-04-10,127.54,127.54,127.54,127.54,127.54,0
2025-04-11,128.64,128.64,128.64,128.64,128.64,0
2025-04-14,135.71,135.71,135.71,135.71,135.71,0
2025-04-15,135.76,135.76,135.76,135.76,135.76,0
2025-04-16,131.32,131.32,131.32,131.32,131.32,0
2025-04-17,130.02,130.02,130.02,130.02,130.02,0
2025-04-21,125.77,125.77,125.77,125.77,125.77,0
2025-04-22,125.93,125.93,125.93,125.93,125.93,0
2025-04-23,126.67,126.67,126.67,126.67,126.67,0
2025-04-24,129.02,129.02,129.02,129.02,129.02,0
2025-04-25,132.37,132.37,132.37,132.37,132.37,0
2025-04-28,131.28,131.28,131.28,131.28,131.28,0
2025-04-29,134.29,134.29,134.29,134.29,134.29,0
2025-04-30,132.73,132.73,132.73,132.73,132.73,0
2025-05-01,134.07,134.07,134.07,134.07,134.07,0
2025-05-02,134.78,134.78,134.78,134.78,134.78,0
2025-05-05,134.12,134.12,134.12,134.12,134.12,0
2025-05-06,133.24,133.24,133.24,133.24,133.24,0
