Date,open,high,low,close,adjusted_close,volume
2020-01-02,3066.3357,3098.1001,3066.3357,3085.1976,3085.1976,29247020800
2020-01-03,3089.022,3093.8192,3074.5178,3083.7858,3083.7858,26149666700
2020-01-06,3070.9088,3107.2032,3065.3088,3083.4083,3083.4083,31257584200
2020-01-07,3085.4882,3105.4507,3084.329,3104.8015,3104.8015,27658311100
2020-01-08,3094.2389,3094.2389,3059.1313,3066.8925,3066.8925,29787255299
2020-01-09,3082.6398,3097.3291,3080.1313,3094.8819,3094.8819,24343564899
2020-01-10,3102.2938,3105.2248,3081.3961,3092.2907,3092.2907,21044246200
2020-01-13,3091.493,3115.5696,3075.3837,3115.5696,3115.5696,21062100400
2020-01-14,3120.6669,3127.1692,3105.6049,3106.8204,3106.8204,22997376899
2020-01-15,3103.1749,3107.9426,3082.0425,3090.0379,3090.0379,20231302300
2020-01-16,3095.7342,3096.3717,3070.884,3074.0814,3074.0814,20337547500
2020-01-17,3081.4641,3091.9516,3067.2525,3075.4955,3075.4955,19030429900
2020-01-20,3082.1134,3096.3105,3070.4801,3095.7873,3095.7873,21049334099
2020-01-21,3085.7895,3085.7895,3051.2301,3052.1419,3052.1419,23483073900
2020-01-22,3038.4868,3069.2527,3006.2677,3060.7545,3060.7545,22385286499
2020-01-23,3037.9524,3045.0406,2955.346,2976.5281,2976.5281,27276323400
2020-02-03,2716.6978,2766.5773,2716.6978,2746.6056,2746.6056,21591210300
2020-02-04,2685.2693,2786.1642,2685.2693,2783.2875,2783.2875,36404620000
2020-02-05,2792.3713,2842.7426,2778.8641,2818.0878,2818.0878,30976182300
2020-02-06,2826.8851,2876.5878,2807.609,2866.5097,2866.5097,31639214200
2020-02-07,2858.9324,2875.9636,2838.7702,2875.9636,2875.9636,30947964200
2020-02-10,2860.499,2891.8479,2851.0503,2890.4878,2890.4878,29492978400
2020-02-11,2894.5414,2913.8159,2882.2428,2901.6744,2901.6744,26916833500
2020-02-12,2895.5561,2926.8991,2892.424,2926.8991,2926.8991,24873342899
2020-02-13,2927.1443,2935.406,2901.2425,2906.0735,2906.0735,27480484400
2020-02-14,2899.8659,2926.9427,2899.5739,2917.0077,2917.0077,25065062700
2020-02-17,2924.9913,2983.6371,2924.9913,2983.6224,2983.6224,31319800700
2020-02-18,2981.4097,2990.6003,2960.7751,2984.9716,2984.9716,31166591299
2020-02-19,2979.5223,2998.2718,2971.8219,2975.4019,2975.4019,31514115100
2020-02-20,2981.8802,3031.3706,2968.4451,3030.1542,3030.1542,34573288100
2020-02-21,3022.2455,3058.898,3020.141,3039.6692,3039.6692,36455727600
2020-02-24,3027.8925,3042.1821,3007.3557,3031.2333,3031.2333,37043004400
2020-02-25,2982.0696,3016.9458,2943.7168,3013.0501,3013.0501,44162276199
2020-02-26,2978.4195,3028.7788,2974.9423,2987.9287,2987.9287,46904955200
2020-02-27,2992.4919,3009.4575,2980.4774,2991.3288,2991.3288,35052365800
2020-02-28,2924.6407,2948.1261,2878.5443,2880.3038,2880.3038,40121691399
2020-03-02,2899.31,2982.5068,2899.31,2970.9312,2970.9312,36733336900
2020-03-03,3006.8888,3026.842,2976.623,2992.8968,2992.8968,41010804700
2020-03-04,2981.806,3012.0035,2974.3583,3011.6657,3011.6657,35333827800
