Date,open,high,low,close,adjusted_close,volume
2024-01-02,91.86,92.82,87.59,88.09,88.09,0
2024-01-03,89.26,92.31,86.23,89.65,89.65,0
2024-01-04,89.92,90.41,86.68,87.59,87.59,0
2024-01-05,86.46,86.48,82.55,82.87,82.87,0
2024-01-08,85.62,85.62,80.23,81.26,81.26,0
2024-01-09,82.37,82.56,78.32,78.59,78.59,0
2024-01-10,79.72,79.98,76.46,77.09,77.09,0
2024-01-11,76.14,79.81,75.46,75.54,75.54,0
2024-01-12,75.63,86.07,75.14,86.07,86.07,0
2024-01-16,90.32,93.66,88.35,89.59,89.59,0
2024-01-17,95.97,96.19,88.82,91.36,91.36,0
2024-01-18,88.62,90.1,86.07,86.34,86.34,0
2024-01-19,84.93,85.73,81.57,81.95,81.95,0
2024-01-22,83.42,83.45,78.63,79.17,79.17,0
2024-01-23,78.19,78.78,76.08,76.67,76.67,0
2024-01-24,75.61,81.16,74.65,80.94,80.94,0
2024-01-25,80.57,81.81,79.75,81.39,81.39,0
2024-01-26,81.42,82.2,79.87,82.2,82.2,0
2024-01-29,83.92,84.92,83.01,83.4,83.4,0
2024-01-30,83.69,83.94,81.8,82.24,82.24,0
2024-01-31,82.12,89.4,81.99,87.56,87.56,0
2024-02-01,85.95,89.66,83.01,84.83,84.83,0
2024-02-02,85.99,86.51,82.56,83.31,83.31,0
2024-02-05,84.69,86.82,78.81,79.58,79.58,0
2024-02-06,78.6,80.3,76.68,76.97,76.97,0
2024-02-07,79.83,82.26,79.6,80.54,80.54,0
2024-02-08,85.25,86.77,82.8,83.07,83.07,0
2024-02-09,82.46,84.85,81.53,81.94,81.94,0
2024-02-12,82.95,85.37,82.8,84.63,84.63,0
2024-02-13,88.01,101.46,85.1,93.19,93.19,0
2024-02-14,88.59,89.04,81.44,83.17,83.17,0
2024-02-15,82.53,85.33,81.94,82.4,82.4,0
2024-02-16,82.88,85.01,80.03,82.63,82.63,0
2024-02-20,88.79,90.61,85.56,86.1,86.1,0
2024-02-21,86.83,87.71,84.35,84.66,84.66,0
2024-02-22,80.88,81.01,77.99,80.88,80.88,0
2024-02-23,79.89,80.32,78.17,78.86,78.86,0
2024-02-26,79.99,81.04,79.59,80.5,80.5,0
2024-02-27,79.45,79.62,77.99,78.54,78.54,0
2024-02-28,80.35,81.56,79.6,80.36,80.36,0
2024-02-29,78.95,80.68,77.03,77.45,77.45,0
2024-03-01,76.69,80.97,76.34,77.68,77.68,0
2024-03-04,79.87,80.41,78.97,79.41,79.41,0
2024-03-05,80.36,86.14,80.36,83.91,83.91,0
2024-03-06,81.47,83.81,81.43,83.11,83.11,0
2024-03-07,81.93,83.07,81.93,82.13,82.13,0
2024-03-08,80.78,91.32,80.42,86.56,86.56,0
2024-03-11,90.61,92.14,88.13,88.97,88.97,0
2024-03-12,87.39,88.46,83.66,83.76,83.76,0
2024-03-13,86.44,87.32,85.85,86.27,86.27,0
2024-03-14,85.45,92.61,85.34,88.75,88.75,0
2024-03-15,90.23,96.23,89.82,92.17,92.17,0
2024-03-18,92.0,92.06,86.63,86.78,86.78,0
2024-03-19,86.86,87.14,83.65,83.9,83.9,0
2024-03-20,83.95,84.26,78.64,78.87,78.87,0
2024-03-21,79.63,81.1,77.14,77.3,77.3,0
2024-03-22,77.2,77.79,74.88,76.49,76.49,0
2024-03-25,78.85,78.87,76.19,76.6,76.6,0
2024-03-26,76.42,79.28,75.02,76.77,76.77,0
2024-03-27,76.19,78.08,75.2,76.0,76.0,0
2024-03-28,76.5,78.1,75.79,76.57,76.57,0
2024-04-01,79.81,82.96,78.28,78.45,78.45,0
2024-04-02,82.14,86.64,82.14,82.76,82.76,0
2024-04-03,84.29,85.34,80.53,81.08,81.08,0
2024-04-04,79.61,91.07,77.81,90.04,90.04,0
2024-04-05,90.75,91.66,88.43,90.58,90.58,0
2024-04-08,90.48,90.88,85.76,86.26,86.26,0
2024-04-09,85.85,90.01,84.26,84.45,84.45,0
2024-04-10,93.64,95.61,90.67,91.76,91.76,0
2024-04-11,92.57,96.33,88.73,89.4,89.4,0
2024-04-12,94.59,112.86,94.42,102.72,102.72,0
2024-04-15,98.45,111.58,93.95,109.64,109.64,0
2024-04-16,107.13,107.53,97.82,99.25,99.25,0
2024-04-17,99.34,102.82,94.79,98.76,98.76,0
2024-04-18,96.8,98.89,92.96,95.99,95.99,0
2024-04-19,99.41,102.87,96.75,99.09,99.09,0
2024-04-22,95.6,96.22,89.26,89.54,89.54,0
2024-04-23,87.38,87.59,82.02,82.36,82.36,0
2024-04-24,82.7,85.02,81.73,83.61,83.61,0
2024-04-25,90.38,91.02,82.37,82.54,82.54,0
2024-04-26,82.58,83.09,79.56,79.56,79.56,0
2024-04-29,80.06,80.65,77.39,78.22,78.22,0
2024-04-30,79.44,81.96,77.22,81.82,81.82,0
2024-05-01,83.57,123.55,76.73,81.93,81.93,0
