Date,open,high,low,close,adjusted_close,volume
2024-01-02,12.87,23.45,10.9,12.18,12.18,0
2024-01-03,13.14,22.3,10.43,11.52,11.52,0
2024-01-04,12.97,25.58,9.72,14.76,14.76,0
2024-01-05,12.48,22.78,9.48,11.76,11.76,0
2024-01-08,12.7,21.21,11.12,11.79,11.79,0
2024-01-09,12.45,21.36,10.09,11.79,11.79,0
2024-01-10,11.86,20.07,10.57,11.53,11.53,0
2024-01-11,13.59,21.53,9.25,10.91,10.91,0
2024-01-12,11.18,20.85,11.18,19.09,19.09,0
2024-01-16,12.16,20.19,10.62,11.86,11.86,0
2024-01-17,13.07,24.05,11.59,12.13,12.13,0
2024-01-18,12.64,25.46,11.74,11.78,11.78,0
2024-01-19,12.15,25.85,11.39,11.39,11.39,0
2024-01-22,13.48,24.57,11.81,11.98,11.98,0
2024-01-23,11.92,23.82,10.84,11.01,11.01,0
2024-01-24,11.38,25.44,10.99,11.29,11.29,0
2024-01-25,12.09,23.66,10.96,11.27,11.27,0
2024-01-26,11.94,27.84,11.48,11.88,11.88,0
2024-01-29,12.34,26.8,11.82,12.17,12.17,0
2024-01-30,12.2,24.56,10.95,12.03,12.03,0
2024-01-31,12.1,28.09,12.08,12.61,12.61,0
2024-02-01,12.6,28.68,11.36,11.36,11.36,0
2024-02-02,12.46,23.98,11.07,12.06,12.06,0
2024-02-05,12.39,27.44,11.82,12.04,12.04,0
2024-02-06,11.92,27.32,10.86,11.87,11.87,0
2024-02-07,11.82,28.99,10.62,11.64,11.64,0
2024-02-08,11.74,28.67,11.43,11.51,11.51,0
2024-02-09,11.65,26.37,11.38,11.44,11.44,0
2024-02-12,11.44,11.44,11.44,11.44,11.44,0
2024-02-13,11.44,11.44,11.44,11.44,11.44,0
2024-02-14,11.44,11.44,11.44,11.44,11.44,0
2024-02-15,11.44,11.44,11.44,11.44,11.44,0
2024-02-16,11.44,11.44,11.44,11.44,11.44,0
2024-02-20,14.7,29.86,12.61,13.85,13.85,0
2024-02-21,15.01,28.91,11.23,13.54,13.54,0
2024-02-22,23.48,28.05,11.3,13.45,13.45,0
2024-02-23,12.46,26.37,9.88,11.62,11.62,0
2024-02-26,13.56,25.97,12.06,12.08,12.08,0
2024-02-27,12.93,27.75,11.69,11.69,11.69,0
2024-02-28,14.21,24.69,10.48,14.24,14.24,0
2024-02-29,15.65,26.99,9.28,11.73,11.73,0
2024-03-01,10.56,23.14,10.56,11.35,11.35,0
2024-03-04,15.74,24.38,10.16,11.77,11.77,0
2024-03-05,12.3,24.21,9.75,15.84,15.84,0
2024-03-06,11.92,24.49,8.67,14.94,14.94,0
2024-03-07,14.81,25.8,12.13,14.89,14.89,0
2024-03-08,12.13,25.85,9.59,12.34,12.34,0
2024-03-11,17.12,31.7,9.3,12.3,12.3,0
2024-03-12,13.29,28.71,5.82,11.99,11.99,0
2024-03-13,11.22,23.78,7.64,11.15,11.15,0
2024-03-14,10.85,25.45,9.03,11.0,11.0,0
2024-03-15,16.44,27.2,10.29,11.08,11.08,0
2024-03-18,12.23,22.95,9.91,11.62,11.62,0
2024-03-19,11.13,23.71,8.82,11.23,11.23,0
2024-03-20,11.57,24.42,9.96,10.81,10.81,0
2024-03-21,14.27,22.93,10.06,22.91,22.91,0
2024-03-22,12.39,23.55,10.54,10.91,10.91,0
2024-03-25,14.38,17.4,10.21,12.53,12.53,0
