Date,open,high,low,close,adjusted_close,volume
2024-01-02,17.62,18.36,17.25,17.59,17.59,0
2024-01-03,18.16,18.47,17.4,18.02,18.02,0
2024-01-04,18.23,18.25,17.47,17.89,17.89,0
2024-01-05,17.51,17.53,17.0,17.13,17.13,0
2024-01-08,17.6,17.71,16.81,16.86,16.86,0
2024-01-09,17.17,17.23,16.52,16.55,16.55,0
2024-01-10,16.65,16.68,16.32,16.6,16.6,0
2024-01-11,16.52,17.19,16.22,16.4,16.4,0
2024-01-12,16.62,16.93,16.14,16.54,16.54,0
2024-01-16,17.87,18.33,17.41,17.87,17.87,0
2024-01-17,18.93,19.41,18.21,18.7,18.7,0
2024-01-18,18.22,18.44,17.56,17.95,17.95,0
2024-01-19,17.82,18.01,17.18,17.4,17.4,0
2024-01-22,18.05,18.13,16.98,17.2,17.2,0
2024-01-23,17.27,17.37,16.23,16.55,16.55,0
2024-01-24,16.39,17.0,16.09,16.96,16.96,0
2024-01-25,17.11,17.42,15.86,17.26,17.26,0
2024-01-26,17.53,17.55,16.78,17.03,17.03,0
2024-01-29,17.73,17.74,17.16,17.39,17.39,0
2024-01-30,17.53,17.93,11.34,17.57,17.57,0
2024-01-31,17.58,18.41,17.39,18.25,18.25,0
2024-02-01,18.19,18.24,11.2,11.2,11.2,0
2024-02-02,17.67,17.8,17.11,17.22,17.22,0
2024-02-05,17.85,18.03,17.24,17.57,17.57,0
2024-02-06,17.61,17.87,17.04,17.31,17.31,0
2024-02-07,17.29,17.34,16.93,16.94,16.94,0
2024-02-08,17.29,17.3,11.83,16.96,16.96,0
2024-02-09,17.15,17.15,16.7,16.86,16.86,0
2024-02-12,17.59,18.97,17.46,18.09,18.09,0
2024-02-13,18.97,20.59,18.71,19.49,19.49,0
2024-02-14,18.84,19.13,18.1,18.26,18.26,0
2024-02-15,18.25,18.57,17.57,17.85,17.85,0
2024-02-16,18.19,18.64,17.9,18.6,18.6,0
2024-02-20,19.52,20.25,19.41,19.78,19.78,0
2024-02-21,20.15,20.21,19.53,19.6,19.6,0
2024-02-22,18.37,18.52,18.1,18.39,18.39,0
2024-02-23,18.27,18.41,17.7,17.7,17.7,0
2024-02-26,18.21,18.29,17.7,17.83,17.83,0
2024-02-27,17.85,18.01,17.24,17.58,17.58,0
2024-02-28,17.82,17.88,17.5,17.86,17.86,0
2024-02-29,17.48,17.8,16.13,17.21,17.21,0
2024-03-01,17.21,17.46,16.96,17.2,17.2,0
2024-03-04,17.62,17.64,17.32,17.6,17.6,0
2024-03-05,18.06,19.02,17.97,18.46,18.46,0
2024-03-06,17.99,18.72,17.98,18.54,18.54,0
2024-03-07,18.38,18.82,18.35,18.61,18.61,0
2024-03-08,18.39,19.64,18.23,19.04,19.04,0
2024-03-11,20.05,20.31,19.34,19.37,19.37,0
2024-03-12,18.9,19.18,7.12,18.13,18.13,0
2024-03-13,18.33,18.41,17.76,17.91,17.91,0
2024-03-14,17.93,18.94,17.93,18.61,18.61,0
2024-03-15,19.06,19.99,18.8,19.25,19.25,0
2024-03-18,19.64,19.85,19.23,19.4,19.4,0
2024-03-19,19.65,19.77,18.73,18.78,18.78,0
2024-03-20,19.1,19.16,15.36,17.55,17.55,0
2024-03-21,17.23,17.63,16.6,17.38,17.38,0
2024-03-22,17.47,17.48,16.85,17.04,17.04,0
2024-03-25,17.65,17.67,17.1,17.23,17.23,0
2024-03-26,17.33,17.33,16.78,17.1,17.1,0
2024-03-27,17.0,17.4,16.6,16.61,16.61,0
2024-03-28,16.79,16.89,16.49,16.66,16.66,0
2024-04-01,17.59,18.05,17.44,17.56,17.56,0
2024-04-02,18.49,18.98,18.06,18.18,18.18,0
2024-04-03,18.76,18.78,17.93,18.04,18.04,0
2024-04-04,17.74,20.1,17.62,19.95,19.95,0
2024-04-05,19.59,19.8,16.34,19.23,19.23,0
2024-04-08,19.23,19.23,19.23,19.23,19.23,0
2024-04-09,18.76,19.89,18.56,18.56,18.56,0
2024-04-10,19.25,19.5,17.24,18.99,18.99,0
2024-04-11,19.24,19.77,18.4,18.4,18.4,0
2024-04-12,19.78,21.63,19.34,20.39,20.39,0
2024-04-15,20.25,22.86,20.02,22.84,22.84,0
2024-04-16,22.89,23.21,21.39,22.01,22.01,0
2024-04-17,21.86,22.82,21.4,22.21,22.21,0
2024-04-18,21.73,22.36,20.89,21.64,21.64,0
2024-04-19,22.57,23.34,21.78,22.95,22.95,0
2024-04-22,22.24,22.33,20.9,21.11,21.11,0
2024-04-23,20.92,20.92,19.78,19.84,19.84,0
2024-04-24,20.27,20.66,20.07,20.43,20.43,0
2024-04-25,21.14,21.61,20.28,20.37,20.37,0
2024-04-26,19.95,20.01,19.19,19.33,19.33,0
2024-04-29,19.29,19.8,19.22,19.22,19.22,0
2024-04-30,19.46,20.23,18.43,18.43,18.43,0
2024-05-01,20.15,20.23,15.01,19.43,19.43,0
2024-05-02,19.27,20.01,18.63,18.73,18.73,0
2024-05-03,17.95,18.03,17.39,17.4,17.4,0
2024-05-06,17.85,17.89,17.4,17.42,17.42,0
2024-05-07,17.43,17.52,16.91,16.91,16.91,0
2024-05-08,17.28,17.29,16.69,16.8,16.8,0
2024-05-09,16.85,17.0,16.61,16.67,16.67,0
2024-05-10,16.8,16.88,16.38,16.46,16.46,0
2024-05-13,17.3,17.55,17.3,17.4,17.4,0
2024-05-14,17.57,17.64,16.96,17.29,17.29,0
2024-05-15,16.79,16.83,16.06,16.34,16.34,0
2024-05-16,16.33,16.44,15.9,16.26,16.26,0
2024-05-17,16.3,16.32,15.77,15.85,15.85,0
2024-05-20,16.27,16.32,15.92,15.92,15.92,0
2024-05-21,16.13,16.13,15.48,15.51,15.51,0
2024-05-22,15.87,16.69,15.21,16.4,16.4,0
2024-05-23,15.13,17.03,14.67,16.46,16.46,0
2024-05-24,16.22,16.28,15.48,15.66,15.66,0
2024-05-28,16.32,17.1,15.93,16.57,16.57,0
2024-05-29,17.61,17.81,16.86,17.49,17.49,0
2024-05-30,17.51,18.06,16.59,17.77,17.77,0
2024-05-31,17.31,18.59,16.1,16.7,16.7,0
2024-06-03,16.83,17.98,16.29,16.89,16.89,0
2024-06-04,17.25,17.55,16.78,16.86,16.86,0
2024-06-05,16.6,16.87,16.34,16.63,16.63,0
2024-06-06,16.58,16.75,16.4,16.43,16.43,0
2024-06-07,16.7,16.71,15.83,15.88,15.88,0
2024-06-10,16.58,16.59,15.85,16.0,16.0,0
2024-06-11,16.32,16.63,15.81,15.83,15.83,0
2024-06-12,15.47,15.47,6.48,13.59,13.59,0
2024-06-13,14.62,15.67,14.62,15.1,15.1,0
2024-06-14,15.93,16.22,15.4,16.05,16.05,0
2024-06-17,16.89,17.1,16.54,16.83,16.83,0
2024-06-18,16.94,17.23,16.4,16.7,16.7,0
2024-06-20,16.98,17.92,16.74,17.26,17.26,0
2024-06-21,17.53,17.63,16.59,16.95,16.95,0
2024-06-24,17.76,17.77,16.97,17.24,17.24,0
2024-06-25,17.2,17.22,16.64,16.7,16.7,0
2024-06-26,16.99,17.04,16.23,16.5,16.5,0
2024-06-27,16.52,16.62,16.25,16.29,16.29,0
2024-06-28,16.47,16.49,15.91,16.24,16.24,0
2024-07-01,16.96,17.31,16.06,16.08,16.08,0
2024-07-02,16.64,16.64,15.88,16.07,16.07,0
2024-07-03,16.3,16.42,15.89,16.28,16.28,0
2024-07-05,16.5,16.85,16.46,16.76,16.76,0
2024-07-08,17.34,17.41,16.85,17.03,17.03,0
2024-07-09,17.22,17.28,16.77,17.02,17.02,0
2024-07-10,17.07,17.34,16.92,17.28,17.28,0
2024-07-11,17.21,18.13,17.13,17.92,17.92,0
2024-07-12,17.93,17.93,17.16,17.26,17.26,0
2024-07-15,18.17,18.52,18.01,18.35,18.35,0
2024-07-16,18.4,18.64,18.25,18.35,18.35,0
2024-07-17,19.34,20.7,19.19,20.46,20.46,0
2024-07-18,20.24,21.74,19.92,21.26,21.26,0
2024-07-19,21.64,22.2,21.13,21.51,21.51,0
2024-07-22,21.25,21.26,19.89,19.97,19.97,0
2024-07-23,20.22,20.3,18.53,20.02,20.02,0
2024-07-24,20.68,23.3,20.64,23.06,23.06,0
